schemaname,tablename,indexname,indexdef
public,contacts,contacts_email_normalized_idx,"CREATE INDEX contacts_email_normalized_idx ON public.contacts USING btree (organization_id, email_normalized) WHERE (email_normalized IS NOT NULL)"
public,contacts,contacts_full_name_idx,"CREATE INDEX contacts_full_name_idx ON public.contacts USING btree (organization_id, lower(full_name))"
public,contacts,contacts_organization_id_id_unique,"CREATE UNIQUE INDEX contacts_organization_id_id_unique ON public.contacts USING btree (organization_id, id)"
public,contacts,contacts_organization_idx,CREATE INDEX contacts_organization_idx ON public.contacts USING btree (organization_id)
public,contacts,contacts_phone_normalized_idx,"CREATE INDEX contacts_phone_normalized_idx ON public.contacts USING btree (organization_id, phone_normalized) WHERE (phone_normalized IS NOT NULL)"
public,contacts,contacts_pkey,CREATE UNIQUE INDEX contacts_pkey ON public.contacts USING btree (id)
public,conversation_assignment_history,conversation_assignment_history_idx,"CREATE INDEX conversation_assignment_history_idx ON public.conversation_assignment_history USING btree (conversation_id, changed_at DESC)"
public,conversation_assignment_history,conversation_assignment_history_pkey,CREATE UNIQUE INDEX conversation_assignment_history_pkey ON public.conversation_assignment_history USING btree (id)
public,conversation_user_state,conversation_user_state_pkey,CREATE UNIQUE INDEX conversation_user_state_pkey ON public.conversation_user_state USING btree (id)
public,conversation_user_state,conversation_user_state_unique,"CREATE UNIQUE INDEX conversation_user_state_unique ON public.conversation_user_state USING btree (conversation_id, user_id)"
public,conversation_user_state,conversation_user_state_user_idx,"CREATE INDEX conversation_user_state_user_idx ON public.conversation_user_state USING btree (organization_id, user_id)"
public,conversations,conversations_assigned_idx,"CREATE INDEX conversations_assigned_idx ON public.conversations USING btree (organization_id, assigned_to, status)"
public,conversations,conversations_contact_idx,"CREATE INDEX conversations_contact_idx ON public.conversations USING btree (organization_id, contact_id)"
public,conversations,conversations_external_identity_unique_idx,"CREATE UNIQUE INDEX conversations_external_identity_unique_idx ON public.conversations USING btree (organization_id, channel, external_account_id, external_contact_id) WHERE ((external_account_id IS NOT NULL) AND (external_contact_id IS NOT NULL))"
public,conversations,conversations_lead_idx,"CREATE INDEX conversations_lead_idx ON public.conversations USING btree (organization_id, lead_id) WHERE (lead_id IS NOT NULL)"
public,conversations,conversations_organization_id_id_unique,"CREATE UNIQUE INDEX conversations_organization_id_id_unique ON public.conversations USING btree (organization_id, id)"
public,conversations,conversations_organization_status_idx,"CREATE INDEX conversations_organization_status_idx ON public.conversations USING btree (organization_id, status, last_message_at DESC)"
public,conversations,conversations_pkey,CREATE UNIQUE INDEX conversations_pkey ON public.conversations USING btree (id)
public,custom_field_options,custom_field_options_field_idx,"CREATE INDEX custom_field_options_field_idx ON public.custom_field_options USING btree (field_id, ""position"")"
public,custom_field_options,custom_field_options_pkey,CREATE UNIQUE INDEX custom_field_options_pkey ON public.custom_field_options USING btree (id)
